video_url,video_description,like_count,sentiment,possible_ad,sentiment_suggestion,manual_keep,final_sentiment
https://www.tiktok.com/@adamrobertlamb/video/7437790256453225761,"Rating Popular CeraVe Cleansers from BEST to WORST!
#skincare101 #ceraveskincare #cerave #affordableskincare #skincaretips #skincaretiktok",164,,False,negative,yes,neutral
https://www.tiktok.com/@cerave/video/7446828993011092778,Not sure which CeraVe cleanser is perfect for your skin type? We’ve got you covered! Watch this breakdown & let us know in the comments which product range we should cover next. 👇💙🥼✨ #CeraVe #Cleansers #SkinType #OilySkin #DrySkin,10600,,False,positive,no,
https://www.tiktok.com/@skingnature/video/7610470551508831506,كثير مرضى عندي بيستعملوا Cerave Foaming Cleanser،فقررت أحكي تقييم علمي سريع: ✔️ مناسب للدهنية والمختلطة ✔️ ما فيه عطور ✔️ بيدعم الحاجز الجلدي بس في حالات ما بفضّلو فيها… شرحتها بالفيديو 👆 إذا بدكوا تقييمات أكتر لمنتجات ترند قولولي شو تحبوا بعد #cerave #ceraveskinca #skingnature_by_sahar,80,,False,unclear,no,
https://www.tiktok.com/@danadoo96/video/7635722893896256782,Expensive skincare does not always mean effective skincare‼️ @CeraVe @LaRochePosayUS @La Roche-Posay @Vanicream™ Sensitive Skin Care #dermatologynurse #skincaretips #affordableskincare #facecleanser #dermnurse,118,,False,positive,no,
https://www.tiktok.com/@rubeslanamay/video/7453093370823494945,Cerave Review : Best & Worst🚨 #cerave #bestandworst #skincarereview #smashorpass #bestskincareproducts #worstskincareadvice #worstskincareproducts #viralskincare #fyp #foryou #acnesafeskincare,228,,False,unclear,yes,neutral
https://www.tiktok.com/@darkskinprince_/video/7592050216291814711,skincare# fyp# 😀 ??Which one yall picking up skincareproduct# skincaretips# CeraVe@ darkskinprince#,7976,,False,unclear,yes,neutral
https://www.tiktok.com/@rylienealon/video/7588640721209462047,greenscreen#,97,,False,unclear,yes,negative
https://www.tiktok.com/@dr_ahmed_temraz/video/7629832759426469127,الفرق بين غسولات سيرافي Cerave cleanser 💙 ❌❌❌❌❌❌,2630,,False,unclear,no,
https://www.tiktok.com/@megamindpharmacist/video/7661870332738948373,So what makes @CeraVe products different? One reason is that they have MVE (Multi-vesicular Emulsion) technology which helps deliver lasting skin barrier support and moisturising ingredients in stages rather than all at once. This then helps maintain moisture for up to 24 hours at a time. #cerave #skincare #sponsored #developedwithdermatologists,96,,True,neutral,no,
https://www.tiktok.com/@kendrathemom_/video/7295808298274671877,"The difference between these two Cerave cleansers! What product should I do next
#kendrathemom #skincarereviews #brandreview #cerave",4192,,False,neutral,yes,neutral
https://www.tiktok.com/@sdcfvv543/video/7184138389476691242,"CeraVe Moisturizing Cream broke me out so badly. Back to my trusty Vanicream Daily Facial Moisturizer until this clears up!

#skincare #cerave #skincare #beauty #acne #skincareroutine #beautyroutine #dermatology #accutane #acnetreatment",3673,,False,negative,yes,negative
https://www.tiktok.com/@sandyesprit/video/7640832554945219860,"#creatorsearchinsights @cerave cleanser guide for every skin type 🫧 Which CeraVe cleanser is actually worth it for oily skin, dry skin, acne-prone skin, sensitive skin, or combination skin? I tested and compared the most popular CeraVe cleansers so you can find the best face wash for your skincare needs without wasting money 👀 From hydrating cleansers to foaming cleansers and acne control cleansers, here’s what worked, what didn’t, and which one might be your perfect match ✨ #CeraVe #CeraVeCleanser #SkincareReview #BestCleanser",283,,False,positive,yes,neutral
https://www.tiktok.com/@rose.friederike/video/7163294525820030213,,556900,,False,unclear,yes,positive
https://www.tiktok.com/@therealskiniminmd/video/7482090635835739438,#doctor #productreview #hairlossdoc #cerave,277,,False,negative,yes,negative
